semaine,restaurant_1,restaurant_2,total
2015-01-05,109.55,,109.55
2015-01-12,,,
2015-01-19,,,
2015-01-26,,,
2015-02-02,,,
2015-02-09,117.85,,117.85
2015-02-16,,,
2015-02-23,,,
2015-03-02,,,
2015-03-09,,,
2015-03-16,,,
2015-03-23,,,
2015-03-30,,,
2015-04-06,,,
2015-04-13,,,
2015-04-20,,,
2015-04-27,,,
2015-05-04,,,
2015-05-11,,,
2015-05-18,,,
2015-05-25,,,
2015-06-01,,,
2015-06-08,,,
2015-06-15,,,
2015-06-22,,,
2015-06-29,,,
2015-07-06,,,
2015-07-13,,,
2015-07-20,,,
2015-07-27,,,
2015-08-03,11.850000000000001,,11.850000000000001
2015-08-10,,,
2015-08-17,,,
2015-08-24,,,
2015-08-31,,,
2015-09-07,23.700000000000003,,23.700000000000003
2015-09-14,,,
2015-09-21,,,
2015-09-28,149.55,,149.55
2015-10-05,,,
2015-10-12,,,
2015-10-19,,,
2015-10-26,,,
2015-11-02,,,
2015-11-09,,,
2015-11-16,,,
2015-11-23,,,
2015-11-30,,,
2015-12-07,,,
2015-12-14,,32.65,32.65
2015-12-21,,,
2015-12-28,,,
2016-01-04,1328.55,2162.75,3491.3
2016-01-11,470.0,422.2,892.2
2016-01-18,,,
2016-01-25,,,
2016-02-01,966.0,242.3,1208.3
2016-02-08,1471.1499999999999,2378.2,3849.3499999999995
2016-02-15,,,
2016-02-22,,,
2016-02-29,568.8,814.9,1383.6999999999998
2016-03-07,1781.3,3166.25,4947.55
2016-03-14,1726.55,,1726.55
2016-03-21,914.05,,914.05
2016-03-28,593.95,,593.95
2016-04-04,1221.5,1638.3,2859.8
2016-04-11,1619.3999999999999,1713.85,3333.25
2016-04-18,1584.5,,1584.5
2016-04-25,842.9499999999999,,842.9499999999999
2016-05-02,685.1,1014.35,1699.45
2016-05-09,1921.55,1594.55,3516.1
2016-05-16,1006.35,,1006.35
2016-05-23,1694.55,2451.5,4146.05
2016-05-30,1097.0,1113.45,2210.45
2016-06-06,1229.1,2112.5,3341.6
2016-06-13,1153.3,3329.75,4483.05
2016-06-20,,,
2016-06-27,100.05,,100.05
2016-07-04,1062.2,1552.5,2614.7
2016-07-11,526.8,511.4,1038.1999999999998
2016-07-18,1446.1,,1446.1
2016-07-25,1106.45,2354.6,3461.05
2016-08-01,469.34999999999997,140.55,609.9
2016-08-08,1204.0,3041.15,4245.15
2016-08-15,1439.3,2956.1,4395.4
2016-08-22,1602.1,3009.15,4611.25
2016-08-29,1045.85,1089.6,2135.45
2016-09-05,1173.55,2066.3,3239.8500000000004
2016-09-12,1925.55,3417.75,5343.3
2016-09-19,1835.7,3259.85,5095.55
2016-09-26,934.0,2018.9,2952.9
2016-10-03,1416.65,1587.3,3003.95
2016-10-10,3485.7,4323.45,7809.15
2016-10-17,2179.7,3389.2,5568.9
2016-10-24,1803.95,3985.7,5789.65
2016-10-31,538.45,1080.2,1618.65
2016-11-07,1247.3,2718.0,3965.3
2016-11-14,1975.6,4430.45,6406.049999999999
2016-11-21,2267.45,3263.85,5531.299999999999
2016-11-28,747.8,781.35,1529.15
2016-12-05,1680.35,2514.35,4194.7
2016-12-12,2449.55,4240.2,6689.75
2016-12-19,2004.6499999999999,3215.6,5220.25
2016-12-26,2750.5,5063.4,7813.9
2017-01-02,2338.55,4304.55,6643.1
2017-01-09,2731.65,5722.95,8454.6
2017-01-16,1988.2,3484.5499999999997,5472.75
2017-01-23,2515.45,4172.4,6687.849999999999
2017-01-30,1585.75,2658.8,4244.55
2017-02-06,2878.25,4943.0,7821.25
2017-02-13,2431.55,4901.5,7333.05
2017-02-20,1601.25,3860.4,5461.65
2017-02-27,1237.65,2502.0,3739.65
2017-03-06,2691.8,3682.5,6374.3
2017-03-13,2241.55,4017.45,6259.0
2017-03-20,2003.3999999999999,3723.0,5726.4
2017-03-27,2356.75,3590.65,5947.4
2017-04-03,2646.1,4415.849999999999,7061.949999999999
2017-04-10,2925.95,4302.5,7228.45
2017-04-17,2410.8,3973.75,6384.55
2017-04-24,2373.7,3985.75,6359.45
